corporateID,corporateType,corporateName,corporateKana,location,moddate
2210001012731,http://imi.go.jp/ns/code_id/code/kind#301,株式会社奥田家具,,福井県鯖江市本町１丁目２番６号,2015-11-12T15:00:00.000Z
1210001012732,http://imi.go.jp/ns/code_id/code/kind#301,株式会社大森,オオモリ,福井県鯖江市磯部町７字４６番地,2019-08-01T15:00:00.000Z
8210001012734,http://imi.go.jp/ns/code_id/code/kind#301,株式会社大橋モータース,オオハシモータース,福井県鯖江市東鯖江４丁目１番６号,2019-10-16T15:00:00.000Z
6210001012736,http://imi.go.jp/ns/code_id/code/kind#301,大塚漆器株式会社,,福井県鯖江市西袋町６６号７番地４,2015-11-12T15:00:00.000Z
5210001012737,http://imi.go.jp/ns/code_id/code/kind#301,株式会社小澤鉄工,,福井県鯖江市当田町１３号９番地,2015-11-12T15:00:00.000Z
3210001012739,http://imi.go.jp/ns/code_id/code/kind#301,オプティカルフィールドシステム株式会社,オプティカルフィールドシステム,福井県鯖江市下新庄町第１１９号９番地,2018-04-15T15:00:00.000Z
1210001012740,http://imi.go.jp/ns/code_id/code/kind#301,株式会社オプトメイク福井,オプトメイクフクイ,福井県鯖江市神中町２丁目５０１番１８,2018-12-16T15:00:00.000Z
9210001012741,http://imi.go.jp/ns/code_id/code/kind#301,株式会社大平正オプチカル,,福井県鯖江市米岡町第１０号２９番地,2015-11-12T15:00:00.000Z
8210001012742,http://imi.go.jp/ns/code_id/code/kind#301,株式会社央眼製作所,,福井県鯖江市北野町１丁目１２番２０号,2015-11-12T15:00:00.000Z
7210001012743,http://imi.go.jp/ns/code_id/code/kind#301,株式会社オプティックニシムラ眼鏡,,福井県鯖江市有定町２丁目８番２５号,2015-11-12T15:00:00.000Z
6210001012744,http://imi.go.jp/ns/code_id/code/kind#301,株式会社オプティカ・フクイ,オプティカフクイ,福井県鯖江市神中町２丁目９番１号,2018-06-07T15:00:00.000Z
4210001012746,http://imi.go.jp/ns/code_id/code/kind#301,株式会社奥田精工,,福井県鯖江市漆原町第２１号５番地,2015-11-12T15:00:00.000Z
3210001012747,http://imi.go.jp/ns/code_id/code/kind#301,株式会社オネスト,,福井県鯖江市舟津町２丁目５番３７号,2015-11-12T15:00:00.000Z
2210001012748,http://imi.go.jp/ns/code_id/code/kind#301,株式会社オーエムエンジニアリング,オーエムエンジニアリング,福井県鯖江市水落町１丁目１４番２１号,2019-04-04T15:00:00.000Z
8210001012750,http://imi.go.jp/ns/code_id/code/kind#301,株式会社オー・エー・,,福井県鯖江市吉江町１５番７３号,2015-11-12T15:00:00.000Z
6210001012752,http://imi.go.jp/ns/code_id/code/kind#301,株式会社笠島鋳造所,,福井県鯖江市別所町第１４号３０番地,2015-11-12T15:00:00.000Z
4210001012754,http://imi.go.jp/ns/code_id/code/kind#301,カセン産業株式会社,カセンサンギョウ,福井県鯖江市東鯖江２丁目１番２４号,2019-06-18T15:00:00.000Z
3210001012755,http://imi.go.jp/ns/code_id/code/kind#301,貨泉プラスチツク株式会社,カセンプラスチック,福井県鯖江市莇生田町２３号８番地,2019-08-25T15:00:00.000Z
2210001012756,http://imi.go.jp/ns/code_id/code/kind#301,株式会社カーセンターしみず,カーセンターシミズ,福井県鯖江市桜町２丁目９番２２号,2020-06-23T15:00:00.000Z
9210001012758,http://imi.go.jp/ns/code_id/code/kind#301,片山斐株式会社,カタヤマアヤ,福井県鯖江市深江町１番１２号,2018-08-14T15:00:00.000Z
8210001012759,http://imi.go.jp/ns/code_id/code/kind#301,株式会社加藤紙文具店,,福井県鯖江市本町２丁目１番１２号,2015-11-12T15:00:00.000Z
6210001012760,http://imi.go.jp/ns/code_id/code/kind#301,株式会社加藤工芸,,福井県鯖江市下河端町第９７号１３４番地,2015-11-12T15:00:00.000Z
5210001012761,http://imi.go.jp/ns/code_id/code/kind#301,株式会社カブト,カブト,福井県鯖江市水落町３丁目４番３４号,2019-09-18T15:00:00.000Z
